Title,Genre,Director,Country,Year,Rating
Белый список,"['драма', 'детектив', 'психологический триллер']",['Алиса Хазанова'],['Россия'],2023,6.1
Бекки в ярости,"['боевик', 'триллер']","['Мэтт Энджел', 'Сюзанн Кут']",['США'],2023,6.1
Без ответа,"['романтический', 'приключенческий', 'комедийный боевик']",['Декстер Флетчер'],['США'],2023,5.8
Без обид,['комедия'],"['Джин Ступницки', '[en]']",['США'],2023,6.4
Беглец,"['боевик', 'триллер']",['Рик Роман Во'],"['США', 'Саудовская Аравия']",2023,6.1
Башня без тени,['драматический фильм'],['Чжан Люй'],['Китай'],2023,6.7
Бедные-несчастные,"['фэнтези', 'чёрная комедия']",['Йоргос Лантимос'],"['США', 'Великобритания', 'Ирландия']",2023,8.4
Дюна: Часть третья,"['эпический фильм', 'научная фантастика']",['Дени Вильнёв'],['США'],2026,
Баба Яга спасает мир,"['фэнтези', 'семейная комедия']",['Карен Захаров'],['Россия'],2023,4.4
Барби,['фэнтезийная комедия'],['Грета Гервиг'],['США'],2023,6.9
Астрал 5: Красная дверь,['фильм ужасов'],['Патрик Уилсон'],['США'],2023,5.5
Банель и Адама,['драма'],['Рамата-Тулай Си'],['Франция'],2023,6.3
Аферисты,['криминальный триллер'],['Бенджамин Карон'],['США'],2023,6.7
Астерикс и Обеликс: Поднебесная,"['комедия', 'приключения']",['Гийом Кане'],['Франция'],2023,5.1
Арт-колледж 1994,,['Liu Jian'],['Китай'],2023,6.2
Цыганские романсы,['Музыкальная драма'],['Петр Чардынин'],['Российская империя'],1914,
Анатомия падения,['драма'],['Жюстин Трие'],['Франция'],2023,7.8
Американское чтиво,['драматический фильм'],['Корд Джефферсон'],['США'],2023,7.9
Айлин,"['психологический фильм-триллер', 'экранизация романа']",['Уильям Олдройд'],"['США', 'Великобритания']",2023,6.1
Адажио,['polar'],['Стефано Соллима'],['Италия'],2023,6.8
1993,['драматический фильм'],['Александр Велединский'],['Россия'],2023,6.1
1984,['антиутопия'],['Диана Ринго'],"['Финляндия', 'Россия']",2023,6.4
Аквамен и потерянное царство,"['боевик', 'фантастика', 'приключения', 'супергероика']",['Джеймс Ван'],['США'],2023,5.8
65,"['научно-фантастический', 'остросюжетный боевик']","['Скотт Бек', 'Брайан Вудс']",['США'],2023,5.4
Тайна германского посольства,['драма'],['Евгений Бауэр'],['Российская империя'],1914,
20 дней в Мариуполе,"['документальный фильм', 'военный фильм']",['Мстислав Чернов'],['Украина'],2023,8.6
14+: Продолжение,['мелодрама'],['Андрей Зайцев'],['Россия'],2023,3.1
(Не)идеальные роботы,"['комедия', 'фантастика', 'мелодрамма']","['Энтони Хайнс', 'Каспер Кристенсен']",['США'],2023,5.5
Таинственный некто,['Драма'],,['Россия'],1914,
"Ямщик, не гони лошадей","['драма', '(новелла)']",['Евгений Бауэр'],['Российская империя'],1916,
Шахматы жизни,['реалистическая драма'],['Александр Уральский'],['Российская империя'],1916,
Sommartider – Filmen om Gyllene Tider,"['биографический фильм', 'музыкальный фильм', 'драматический фильм']",['Пер Симонссон'],['Швеция'],2024,
Я видел свечение телевизора,['фильм ужасов'],"['Джейн Шёнбрун', '(англ.)', 'рус.']",['США'],2024,7.1
Я — капитан,"['драматический фильм', 'приключенческий фильм', 'social drama', 'фильм про выживание']",['Маттео Гарроне'],"['Италия', 'Бельгия', 'Франция', 'Люксембург', 'США']",2024,7.6
Эммануэль,['эротика'],['Одри Диван'],,2024,
Сказка о спящей царевне и семи богатырях,['Сказка'],['Пётр Чардынин'],['Российская империя'],1914,
Цвет лиловый,"['драматический фильм', 'история взросления', 'историческая драма', 'экранизация романа', 'музыкальный фильм']",['Блитц Базавуле'],['США'],2024,7.1
Холоп 2,['комедия'],['Клим Шипенко'],['Россия'],2024,6.0
Тельма,['кинокомедия'],['Джош Марголин'],['США'],2024,7.4
Странные сказки,,"['Райан Флек', 'Анна Боден']",['США'],2024,8.0
Стальная хватка,"['драматический фильм', 'биографический фильм', 'спортивный фильм']",['Шон Дуркин'],"['США', 'Великобритания']",2024,8.1
Солнечный берег,,,['США'],2024,7.6
Рецепт любви,['романтический фильм'],"['Чан, Ань Хунг']",['Франция'],2024,7.5
Пчеловод,"['боевик', 'триллер']",['Дэвид Эйер'],['США'],2024,6.6
Предчувствие,"['научная фантастика', 'драматический фильм']",['Бертран Бонелло'],['Франция'],2024,6.6
Проклятые воды,"['фильм ужасов', 'триллер', 'кинофантастика', 'фильм ужасов о сверхъестественном']",['Брайс Макгуайр'],['США'],2024,4.8
Присутствие,['психологический триллер'],['Стивен Содерберг'],['США'],2024,6.6
Полицейский из Беверли-Хиллз: Аксель Фоули,"['боевик', 'комедия']",['Марк Моллой'],['США'],2024,
Невероятное паломничество Гарольда Фрая,"['драматический фильм', 'экранизация романа']",['Хетти Макдональд'],['Великобритания'],2024,6.8
